"CSV.5 | Subject Group","PAIRED"
"Gait - Joint - Hip - Int-Ext Rot Max. Asymmetry (%Diff)","","","-235.02","702.62","-206.12","-257.04","-246.78","-152.62","-394.94","-856.82","-547.61","-130.72","-68.53","-48.05","-124.98","-179.23","-168.94","-108.07","-397.92","-640.52","-222.13","-224.07","-270.59","-222.81","-250.09","-878.26","220.34","102.93","-1884.85","145.45","2600.00","-1167.57"
"Gait - Joint - Hip - Int-Ext Rot Min. L (degrees)","","","-10.88","3.60","-13.81","-13.32","-13.34","-10.40","-12.54","-10.44","-13.88","-11.11","-13.66","-10.94","-10.00","-5.33","-5.78","-8.64","-6.83","-4.50","-3.46","-8.48","-11.85","-9.46","-7.24","-9.50","-14.39","-15.52","-15.48","-16.75","-13.27","-14.73"
"Gait - Joint - Hip - Int-Ext Rot Min. R (degrees)","","","-11.71","2.91","-8.88","-13.94","-12.96","-15.46","-12.51","-14.78","-15.86","-8.09","-7.49","-6.47","-10.15","-9.75","-12.38","-8.73","-17.00","-13.87","-14.85","-12.32","-7.78","-13.43","-9.97","-15.76","-13.66","-9.65","-10.99","-11.49","-8.65","-11.03"
"Gait - Joint - Hip - Int-Ext Rot Min. Asymmetry (%Diff)","","","9.53","49.55","-43.46","4.55","-2.89","39.13","-0.24","34.42","13.32","-31.46","-58.35","-51.35","1.49","58.62","72.69","1.04","85.35","102.01","124.41","36.92","-41.47","34.69","31.73","49.56","-5.20","-46.64","-33.93","-37.25","-42.15","-28.73"
"Gait - Joint - Hip - Int-Ext Rot Range L (degrees)","","","17.05","2.54","15.80","19.73","19.93","14.27","19.01","15.09","21.30","17.65","19.91","17.78","20.57","12.27","15.64","19.24","21.21","15.91","17.97","16.77","19.65","15.02","13.53","15.70","14.47","14.94","17.20","16.63","13.04","17.25"
"Gait - Joint - Hip - Int-Ext Rot Range R (degrees)","","","11.02","2.10","8.85","13.14","12.27","15.99","10.39","11.90","12.41","9.45","10.55","10.66","12.59","10.13","13.21","11.88","12.24","7.89","14.09","11.85","6.61","13.13","9.27","11.86","11.80","7.84","9.60","10.73","8.93","9.24"
"Gait - Joint - Hip - Int-Ext Rot Range Asymmetry (%Diff)","","","-43.18","21.71","-56.39","-40.10","-47.58","11.37","-58.64","-23.64","-52.74","-60.52","-61.46","-50.07","-48.13","-19.11","-16.85","-47.30","-53.63","-67.39","-24.20","-34.38","-99.31","-13.43","-37.37","-27.87","-20.33","-62.34","-56.72","-43.13","-37.41","-60.48"
"Gait - Joint - Knee - Val-Var Max. L (degrees)","","","15.83","3.69","17.76","12.85","10.68","17.57","9.35","15.07","8.79","16.87","16.99","21.73","17.49","16.32","11.15","10.58","19.95","23.30","16.64","20.29","13.35","15.48","20.90","14.89","15.68","18.76","16.04","13.73","16.98","13.94"
"Gait - Joint - Knee - Val-Var Max. R (degrees)","","","11.47","2.04","10.01","9.68","10.91","9.35","8.14","9.76","9.66","13.55","14.49","14.44","11.48","11.29","11.29","9.99","9.56","12.07","12.75","10.17","10.06","13.63","13.57","11.66","14.77","13.72","10.01","7.74","13.76","13.72"
"Gait - Joint - Knee - Val-Var Max. Asymmetry (%Diff)","","","-30.24","22.56","-55.82","-28.14","2.13","-61.07","-13.84","-42.77","9.43","-21.83","-15.88","-40.31","-41.49","-36.44","1.25","-5.74","-70.42","-63.50","-26.47","-66.45","-28.11","-12.71","-42.53","-24.33","-5.98","-31.03","-46.30","-55.80","-20.95","-1.59"
"Gait - Joint - Knee - Val-Var Min. L (degrees)","","","-33.64","4.75","-30.75","-37.52","-32.73","-34.52","-36.69","-31.83","-43.08","-34.33","-29.49","-29.85","-35.89","-32.24","-43.30","-32.40","-25.89","-28.86","-32.75","-23.58","-35.47","-32.25","-35.04","-40.89","-32.32","-25.86","-35.30","-34.19","-35.21","-39.60"
"Gait - Joint - Knee - Val-Var Min. R (degrees)","","","-43.99","3.46","-45.69","-46.60","-39.34","-47.37","-43.70","-48.73","-48.21","-41.77","-38.08","-44.16","-42.65","-47.93","-49.17","-42.84","-35.80","-42.57","-39.74","-44.69","-46.05","-44.14","-46.63","-45.43","-38.95","-42.18","-45.39","-41.45","-48.06","-44.26"
"Gait - Joint - Knee - Val-Var Min. Asymmetry (%Diff)","","","27.21","12.23","39.09","21.59","18.34","31.38","17.44","41.96","11.24","19.55","25.43","38.67","17.21","39.14","12.70","27.75","32.13","38.39","19.29","61.84","25.96","31.13","28.38","10.52","18.61","47.97","25.01","19.20","30.86","11.11"
"Gait - Joint - Knee - Val-Var Range L (degrees)","","","49.46","3.66","48.51","50.37","43.41","52.09","46.05","46.90","51.87","51.20","46.47","51.58","53.38","48.55","54.45","42.99","45.85","52.16","49.40","43.87","48.82","47.74","55.94","55.78","48.00","44.62","51.34","47.92","52.20","53.54"
"Gait - Joint - Knee - Val-Var Range R (degrees)","","","55.46","3.63","55.70","56.28","50.25","56.72","51.84","58.49","57.88","55.32","52.57","58.60","54.13","59.22","60.45","52.82","45.37","54.63","52.50","54.86","56.11","57.77","60.20","57.09","53.72","55.90","55.41","49.20","61.82","57.98"
"Gait - Joint - Knee - Val-Var Range Asymmetry (%Diff)","","","11.46","6.59","13.80","11.08","14.61","8.51","11.83","21.99","10.95","7.74","12.32","12.74","1.40","19.80","10.44","20.52","-1.05","4.63","6.08","22.26","13.89","19.01","7.34","2.32","11.25","22.44","7.63","2.64","16.87","7.96"
"Gait - Joint - Knee - Flex-Ext Max. L (degrees)","","","-2.11","2.65","-2.31","-0.78","1.62","-3.12","-1.93","-2.98","-2.72","-4.59","0.07","-1.78","2.78","0.13","-2.72","2.52","1.22","-5.69","-6.07","-4.33","-1.48","-0.04","-2.60","-0.40","-4.12","-7.71","-1.39","-0.31","-5.06","-5.30"
"Gait - Joint - Knee - Flex-Ext Max. R (degrees)","","","-11.44","3.62","-12.63","-10.72","-12.05","-10.75","-9.64","-9.29","-4.16","-13.24","-20.33","-16.42","-6.85","-8.13","-4.21","-12.84","-15.83","-10.30","-8.73","-14.57","-10.62","-9.33","-11.22","-8.11","-14.99","-14.87","-14.19","-10.65","-14.76","-10.98"
"Gait - Joint - Knee - Flex-Ext Max. Asymmetry (%Diff)","","","151.05","92.16","138.15","172.87","262.13","110.02","133.28","102.85","41.86","97.03","201.38","160.88","473.22","206.50","43.00","297.67","233.40","57.66","35.95","108.36","151.07","198.29","124.75","181.20","113.76","63.42","164.31","188.69","97.88","69.78"
"Gait - Joint - Knee - Flex-Ext Min. L (degrees)","","","-31.18","3.62","-34.95","-32.35","-31.59","-34.45","-25.50","-29.72","-26.40","-28.30","-29.72","-33.72","-29.57","-32.24","-25.84","-21.79","-27.67","-32.57","-31.77","-31.52","-31.10","-32.53","-32.00","-30.84","-34.92","-38.89","-36.09","-33.44","-34.17","-29.32"
"Gait - Joint - Knee - Flex-Ext Min. R (degrees)","","","-37.37","3.63","-40.27","-34.99","-37.73","-34.00","-33.45","-38.54","-33.18","-35.28","-45.07","-39.15","-37.36","-37.46","-29.39","-36.21","-40.68","-39.70","-37.64","-36.72","-35.16","-38.70","-36.29","-36.73","-43.19","-44.13","-41.57","-37.32","-35.33","-31.19"
"Gait - Joint - Knee - Flex-Ext Min. Asymmetry (%Diff)","","","18.24","10.92","14.15","7.84","17.71","-1.31","26.97","25.84","22.76","21.96","41.05","14.90","23.28","14.98","12.86","49.72","38.07","19.73","16.91","15.24","12.25","17.32","12.56","17.43","21.18","12.62","14.11","10.97","3.34","6.18"
"Gait - Joint - Knee - Flex-Ext Range L (degrees)","","","29.07","3.54","32.64","31.57","33.21","31.33","23.58","26.74","23.68","23.72","29.79","31.94","32.35","32.38","23.12","24.31","28.89","26.88","25.71","27.19","29.62","32.50","29.40","30.43","30.79","31.18","34.70","33.13","29.11","24.03"
"Gait - Joint - Knee - Flex-Ext Range R (degrees)","","","25.93","3.00","27.64","24.27","25.67","23.24","23.81","29.25","29.02","22.04","24.74","22.73","30.51","29.33","25.17","23.37","24.86","29.40","28.91","22.16","24.54","29.37","25.07","28.63","28.20","29.27","27.38","26.67","20.57","20.21"
"Gait - Joint - Knee - Flex-Ext Range Asymmetry (%Diff)","","","-11.29","14.13","-16.59","-26.15","-25.61","-29.65","0.97","8.97","20.27","-7.34","-18.52","-33.69","-5.85","-9.88","8.49","-3.94","-15.00","8.96","11.72","-20.39","-18.76","-10.12","-15.90","-6.10","-8.78","-6.32","-23.58","-21.61","-34.38","-17.27"
"Gait - Joint - Knee - Int-Ext Rot Max. L (degrees)","","","4.73","3.79","11.98","9.33","10.13","8.00","8.32","7.77","7.34","8.92","3.93","4.22","4.45","2.50","1.20","1.69","-1.84","-2.55","-1.66","0.76","2.63","5.58","1.78","2.50","5.55","6.19","8.79","7.41","3.04","4.56"
"Gait - Joint - Knee - Int-Ext Rot Max. R (degrees)","","","10.83","3.08","5.89","10.26","9.35","10.91","12.65","12.78","20.23","13.00","8.14","7.73","15.19","9.69","14.07","11.39","9.65","9.38","11.13","9.26","9.22","14.91","9.82","15.72","10.46","8.52","7.44","9.19","8.12","9.08"
"Gait - Joint - Knee - Int-Ext Rot Max. Asymmetry (%Diff)","","","95.79","93.71","-68.16","9.49","-8.01","30.78","41.30","48.76","93.51","37.23","69.76","58.74","109.37","117.97","168.57","148.32","294.24","349.34","270.12","169.66","111.22","91.07","138.62","145.12","61.34","31.68","-16.64","21.45","91.04","66.28"
"Gait - Joint - Knee - Int-Ext Rot Min. L (degrees)","","","-24.77","4.82","-13.99","-23.30","-20.24","-24.07","-24.57","-19.87","-30.69","-25.25","-20.60","-29.93","-23.43","-21.89","-38.15","-25.24","-25.96","-27.38","-26.78","-22.75","-23.74","-26.70","-27.50","-27.97","-22.34","-18.83","-19.87","-22.55","-26.06","-33.98"
"Gait - Joint - Knee - Int-Ext Rot Min. R (degrees)","","","-6.64","2.90","-9.34","-6.78","-7.87","-6.81","-8.22","-5.81","-0.73","-4.43","-7.22","-6.48","-3.26","-8.26","-3.47","-5.17","0.07","-5.16","-6.02","-9.71","-7.67","-9.95","-9.34","-6.59","-3.86","-5.15","-8.52","-6.33","-12.94","-10.94"
"Gait - Joint - Knee - Int-Ext Rot Min. Asymmetry (%Diff)","","","-115.46","35.00","-39.86","-109.84","-88.01","-111.79","-99.73","-109.50","-190.71","-140.30","-96.19","-128.81","-151.14","-90.41","-166.65","-132.00","-201.08","-136.57","-126.59","-80.35","-102.32","-91.41","-98.59","-123.73","-141.07","-114.10","-79.96","-112.33","-67.28","-102.58"
"Gait - Joint - Knee - Int-Ext Rot Range L (degrees)","","","29.50","4.50","25.97","32.63","30.37","32.07","32.89","27.63","38.03","34.17","24.52","34.15","27.88","24.39","39.34","26.93","24.12","24.83","25.13","23.51","26.37","32.29","29.28","30.47","27.89","25.02","28.65","29.96","29.10","38.53"
"Gait - Joint - Knee - Int-Ext Rot Range R (degrees)","","","17.47","3.05","15.23","17.04","17.23","17.72","20.87","18.59","20.97","17.44","15.36","14.21","18.45","17.95","17.53","16.56","9.58","14.54","17.15","18.97","16.89","24.87","19.16","22.31","14.33","13.66","15.97","15.52","21.06","20.02"
"Gait - Joint - Knee - Int-Ext Rot Range Asymmetry (%Diff)","","","-51.32","16.37","-52.14","-62.77","-55.21","-57.64","-44.72","-39.12","-57.83","-64.83","-45.94","-82.46","-40.71","-30.42","-76.70","-47.69","-86.29","-52.27","-37.75","-21.37","-43.83","-25.96","-41.78","-30.92","-64.23","-58.74","-56.84","-63.50","-32.06","-63.23"
"Gait - Joint - Neck - Right Lat. Bend Max. (degrees)","","","3.02","4.84","7.20","4.43","2.93","13.32","16.53","1.17","7.98","3.39","2.20","6.42","6.45","0.59","0.11","1.17","2.31","7.48","0.68","3.80","1.89","0.72","-3.94","-1.36","5.48","4.44","0.44","-3.84","-2.52","-4.84"
"Gait - Joint - Neck - Left Lat. Bend Max. (degrees)","","","5.71","2.90","-0.44","2.50","2.87","2.51","3.73","8.56","6.38","8.54","10.98","3.47","4.85","4.80","5.39","8.17","4.39","6.03","8.24","3.60","3.76","4.07","7.79","7.61","2.87","2.54","7.69","8.82","8.93","11.27"
"Gait - Joint - Neck - R-L Lat. Bend Range (degrees)","","","8.73","3.87","6.75","6.93","5.80","15.83","20.27","9.72","14.36","11.92","13.18","9.89","11.30","5.39","5.50","9.34","6.71","13.51","8.92","7.40","5.65","4.78","3.85","6.24","8.35","6.98","8.13","4.98","6.41","6.43"
"Gait - Joint - Neck - Flex-Ext Max. (degrees)","","","27.83","4.80","22.34","18.82","23.85","27.61","24.47","26.43","26.50","31.03","34.92","30.90","23.28","21.90","22.60","23.51","32.26","29.98","24.93","30.66","23.42","36.44","25.44","25.80","27.43","34.24","29.17","36.72","33.39","31.17"
"Gait - Joint - Neck - Flex-Ext Min. (degrees)","","","17.97","5.51","13.93","7.57","9.41","14.31","5.62","19.43","9.50","25.77","24.21","17.30","14.30","15.47","19.08","14.48","21.39","20.30","18.37","20.90","19.19","20.83","17.47","15.29","19.43","22.31","20.30","25.98","26.04","24.97"
"Gait - Joint - Neck - Flex-Ext Range (degrees)","","","9.86","3.73","8.41","11.25","14.44","13.30","18.85","7.00","17.00","5.25","10.72","13.60","8.98","6.43","3.52","9.03","10.87","9.68","6.56","9.76","4.23","15.60","7.97","10.51","8.00","11.93","8.87","10.74","7.35","6.20"
"Gait - Joint - Neck - Right Rot Max. (degrees)","","","11.65","5.88","-1.25","4.25","8.68","1.62","0.54","7.22","15.66","20.99","23.46","7.84","9.21","9.25","12.67","15.01","8.10","12.95","18.21","12.14","15.08","15.71","16.29","16.84","13.34","8.20","10.55","14.18","13.41","16.02"
"Gait - Joint - Neck - Left Rot Max. (degrees)","","","3.73","15.30","11.40","6.45","0.89","45.57","62.65","4.91","9.95","-0.11","-2.62","-0.55","-0.54","-1.04","-1.12","4.10","2.93","9.97","-3.77","-3.78","-1.59","-7.37","-8.04","-0.70","-3.03","-0.15","-4.17","-4.20","-3.11","-8.42"
"Gait - Joint - Neck - R-L Rot Range (degrees)","","","15.38","12.55","10.16","10.70","9.57","47.19","63.19","12.14","25.61","20.88","20.85","7.28","8.67","8.21","11.54","19.11","11.03","22.92","14.44","8.37","13.49","8.34","8.25","16.14","10.32","8.05","6.38","9.99","10.30","7.60"
"Gait - Joint - Shoulder - Abd-Add Max. L (degrees)","","","18.43","4.55","14.17","13.50","23.64","23.93","24.92","25.28","20.38","23.91","15.62","10.19","17.92","19.03","22.38","22.63","26.77","24.83","17.92","14.63","17.16","16.58","13.52","16.42","14.64","14.66","14.90","15.24","14.84","16.39"
"Gait - Joint - Shoulder - Abd-Add Max. R (degrees)","","","16.51","2.31","11.79","13.55","17.41","16.76","16.35","16.74","17.53","15.24","18.41","15.96","15.52","15.64","16.56","21.10","19.10","15.85","16.21","15.95","17.85","21.44","17.70","20.29","13.30","15.77","14.57","18.20","14.04","13.35"
"Gait - Joint - Shoulder - Abd-Add Max. Asymmetry (%Diff)","","","-8.92","24.01","-18.34","0.37","-30.35","-35.24","-41.53","-40.65","-15.04","-44.29","16.40","44.13","-14.35","-19.56","-29.89","-7.00","-33.44","-44.15","-10.02","8.63","3.94","25.57","26.78","21.08","-9.59","7.30","-2.24","17.70","-5.54","-20.44"
"Gait - Joint - Shoulder - Abd-Add Min. L (degrees)","","","7.99","2.16","5.21","5.36","6.59","7.71","5.94","5.67","5.41","5.94","6.18","5.28","7.65","11.38","10.79","10.10","13.62","9.95","10.51","9.44","9.10","7.65","7.04","6.75","8.10","9.21","8.91","9.31","6.42","8.59"
"Gait - Joint - Shoulder - Abd-Add Min. R (degrees)","","","9.28","1.64","7.25","6.14","7.16","10.66","7.67","9.41","9.30","8.40","6.53","7.30","7.70","9.33","11.94","11.01","8.89","10.11","11.14","10.83","10.84","10.84","11.22","10.87","10.74","9.58","9.58","9.24","8.79","7.26"
"Gait - Joint - Shoulder - Abd-Add Min. Asymmetry (%Diff)","","","16.52","22.20","32.74","13.57","8.29","32.12","25.42","49.60","52.89","34.31","5.51","32.11","0.65","-19.80","10.12","8.62","-42.03","1.60","5.82","13.71","17.45","34.51","45.78","46.77","28.03","3.94","7.25","-0.75","31.16","-16.78"
"Gait - Joint - Shoulder - Abd-Add Range L (degrees)","","","10.44","4.49","8.95","8.14","17.05","16.22","18.98","19.61","14.97","17.97","9.44","4.91","10.27","7.66","11.59","12.53","13.16","14.88","7.41","5.19","8.06","8.93","6.48","9.67","6.54","5.45","5.99","5.93","8.42","7.80"
"Gait - Joint - Shoulder - Abd-Add Range R (degrees)","","","7.23","2.23","4.53","7.41","10.25","6.11","8.68","7.34","8.23","6.83","11.88","8.66","7.82","6.30","4.62","10.10","10.21","5.74","5.07","5.13","7.01","10.59","6.49","9.41","2.56","6.19","4.99","8.96","5.25","6.08"
"Gait - Joint - Shoulder - Abd-Add Range Asymmetry (%Diff)","","","-31.44","42.25","-65.58","-9.39","-49.82","-90.55","-74.48","-91.06","-58.10","-89.84","22.89","55.27","-27.09","-19.48","-86.00","-21.48","-25.25","-88.65","-37.50","-1.16","-13.93","17.01","0.15","-2.73","-87.47","12.71","-18.21","40.70","-46.38","-24.78"
"Gait - Joint - Shoulder - Flex-Ext Max. L (degrees)","","","26.59","4.49","18.99","20.65","22.81","29.12","35.30","24.83","31.93","37.38","30.67","28.93","23.92","20.39","26.64","26.17","25.22","23.47","21.90","20.37","27.24","26.87","27.33","30.64","27.88","22.90","26.56","25.75","28.70","31.94"
"Gait - Joint - Shoulder - Flex-Ext Max. R (degrees)","","","24.47","3.55","20.72","23.49","28.90","27.43","30.34","27.44","29.47","29.95","26.40","28.09","21.41","22.12","24.66","23.60","20.29","19.07","23.68","22.82","20.34","26.42","26.94","26.83","23.41","26.80","21.92","18.94","18.19","25.59"
"Gait - Joint - Shoulder - Flex-Ext Max. Asymmetry (%Diff)","","","-7.92","16.09","8.71","12.87","23.55","-5.98","-15.11","9.99","-8.01","-22.07","-14.96","-2.95","-11.07","8.14","-7.72","-10.33","-21.67","-20.69","7.81","11.35","-29.00","-1.69","-1.44","-13.26","-17.43","15.69","-19.14","-30.48","-44.83","-22.08"
"Gait - Joint - Shoulder - Flex-Ext Min. L (degrees)","","","2.78","3.37","2.38","1.41","-0.54","-3.44","-1.63","-5.18","-2.58","0.91","6.18","2.89","4.98","2.45","1.98","0.87","6.75","6.41","4.56","4.65","5.68","4.14","4.04","2.09","5.55","8.50","5.74","4.51","5.38","-0.74"
"Gait - Joint - Shoulder - Flex-Ext Min. R (degrees)","","","-1.17","3.88","-2.25","-6.65","-7.18","-8.29","-9.78","-4.35","-2.36","-2.67","-0.94","-1.89","-0.93","0.60","-1.30","1.95","2.27","3.05","1.43","5.45","2.51","1.23","-1.09","-2.12","0.39","3.60","1.28","4.32","-3.65","-5.53"
"Gait - Joint - Shoulder - Flex-Ext Min. Asymmetry (%Diff)","","","622.51","5548.77","-7123.08","307.63","172.02","82.69","142.86","-17.42","-8.91","406.82","-271.76","-956.00","-291.85","-121.31","-964.71","76.60","-99.33","-71.04","-104.51","15.84","-77.41","-108.38","-347.80","28066.67","-173.74","-80.99","-127.07","-4.30","-1043.93","152.79"
"Gait - Joint - Shoulder - Flex-Ext Range L (degrees)","","","23.80","6.37","16.61","19.23","23.35","32.55","36.93","30.01","34.51","36.46","24.49","26.04","18.94","17.94","24.65","25.30","18.46","17.06","17.35","15.72","21.56","22.73","23.28","28.55","22.34","14.40","20.82","21.24","23.32","32.68"
"Gait - Joint - Shoulder - Flex-Ext Range R (degrees)","","","25.65","6.53","22.97","30.14","36.07","35.72","40.13","31.80","31.83","32.62","27.35","29.98","22.34","21.52","25.96","21.65","18.02","16.02","22.25","17.37","17.82","25.20","28.03","28.94","23.01","23.20","20.65","14.61","21.84","31.13"
"Gait - Joint - Shoulder - Flex-Ext Range Asymmetry (%Diff)","","","7.52","19.25","32.14","44.20","42.81","9.29","8.31","5.79","-8.08","-11.12","11.03","14.07","16.47","18.14","5.18","-15.55","-2.41","-6.29","24.75","9.97","-18.99","10.31","18.51","1.36","2.95","46.81","-0.82","-36.99","-6.55","-4.86"
"Gait - Joint - Shoulder - Int-Ext Rot Max. L (degrees)","","","11.00","5.44","13.63","13.64","12.23","13.83","23.87","12.29","16.43","15.73","5.49","4.60","6.74","-0.24","12.39","3.62","5.39","1.83","8.84","4.72","13.31","7.57","11.49","14.69","12.54","11.66","17.81","12.70","15.85","15.21"
"Gait - Joint - Shoulder - Int-Ext Rot Max. R (degrees)","","","16.94","3.93","11.32","9.93","17.24","15.97","19.21","17.51","20.00","21.62","17.58","19.49","14.76","12.35","13.83","16.88","17.54","12.46","17.34","16.78","22.25","25.49","22.05","23.64","16.27","14.81","17.82","10.07","16.05","13.92"
"Gait - Joint - Shoulder - Int-Ext Rot Max. Asymmetry (%Diff)","","","51.20","59.86","-18.52","-31.48","34.00","14.36","-21.63","35.03","19.60","31.54","104.81","123.62","74.60","207.93","10.98","129.37","105.97","148.78","64.94","112.19","50.28","108.41","62.97","46.70","25.89","23.80","0.06","-23.10","1.25","-8.86"
"Gait - Joint - Shoulder - Int-Ext Rot Min. L (degrees)","","","-31.04","4.28","-20.31","-24.24","-31.23","-31.23","-31.48","-30.41","-27.96","-37.18","-34.25","-27.39","-27.59","-30.58","-36.83","-39.66","-37.87","-36.44","-29.03","-28.21","-32.22","-33.44","-33.54","-32.26","-30.77","-28.97","-28.71","-27.96","-26.74","-32.50"
"Gait - Joint - Shoulder - Int-Ext Rot Min. R (degrees)","","","-17.01","4.99","-19.69","-24.64","-25.56","-22.29","-24.35","-20.45","-19.18","-15.31","-15.74","-14.24","-15.13","-16.64","-18.48","-22.65","-10.51","-14.50","-13.83","-8.76","-9.30","-8.14","-10.35","-11.50","-16.41","-18.24","-18.78","-18.96","-20.67","-21.88"
"Gait - Joint - Shoulder - Int-Ext Rot Min. Asymmetry (%Diff)","","","-59.82","33.48","-3.10","1.64","-19.97","-33.41","-25.54","-39.17","-37.25","-83.33","-74.05","-63.18","-58.33","-59.04","-66.35","-54.60","-113.10","-86.14","-70.93","-105.22","-110.40","-121.69","-105.67","-94.88","-60.87","-45.46","-41.82","-38.36","-25.61","-39.06"
"Gait - Joint - Shoulder - Int-Ext Rot Range L (degrees)","","","42.03","6.00","33.94","37.88","43.47","45.06","55.36","42.70","44.39","52.91","39.74","31.99","34.32","30.34","49.22","43.29","43.27","38.27","37.87","32.92","45.53","41.02","45.03","46.95","43.31","40.63","46.53","40.66","42.59","47.71"
"Gait - Joint - Shoulder - Int-Ext Rot Range R (degrees)","","","33.94","4.48","31.02","34.58","42.80","38.26","43.56","37.95","39.17","36.93","33.32","33.73","29.89","28.99","32.32","39.52","28.05","26.96","31.17","25.55","31.56","33.63","32.40","35.14","32.68","33.06","36.60","29.03","36.72","35.79"
"Gait - Joint - Shoulder - Int-Ext Rot Range Asymmetry (%Diff)","","","-21.05","12.26","-8.99","-9.11","-1.55","-16.32","-23.86","-11.78","-12.49","-35.57","-17.57","5.30","-13.80","-4.55","-41.45","-9.11","-42.68","-34.68","-19.41","-25.21","-36.24","-19.80","-32.62","-28.77","-27.98","-20.55","-23.89","-33.38","-14.80","-28.55"
"Gait - Joint - Wrist - Uln-Rad Max. L (degrees)","","","23.18","6.66","18.65","20.59","18.72","21.86","19.43","18.33","19.81","22.30","17.11","19.52","33.23","31.00","35.66","33.68","29.50","34.38","29.71","30.57","28.45","25.50","12.87","12.30","18.05","17.65","19.02","18.96","21.31","20.97"
"Gait - Joint - Wrist - Uln-Rad Max. R (degrees)","","","-4.56","3.21","4.00","2.35","-1.15","-0.71","0.92","-5.35","-4.97","-5.38","-6.53","-1.97","-2.00","-7.67","-8.44","-8.78","-4.15","-6.90","-6.72","-6.54","-6.03","-7.88","-6.40","-6.73","-4.30","-5.81","-5.28","-6.18","-4.79","-4.34"
"Gait - Joint - Wrist - Uln-Rad Max. Asymmetry (%Diff)","","","-324.85","115.80","-129.36","-159.02","-226.18","-213.43","-181.92","-364.87","-333.96","-327.19","-446.88","-244.90","-225.62","-331.50","-324.03","-341.04","-265.48","-300.44","-316.92","-308.86","-307.58","-378.89","-595.67","-683.30","-325.09","-396.28","-353.71","-393.43","-315.98","-304.39"
"Gait - Joint - Wrist - Uln-Rad Min. L (degrees)","","","17.37","5.98","17.77","16.67","12.63","12.77","16.57","16.03","15.58","13.11","12.48","13.73","17.25","26.48","25.98","29.11","25.88","25.10","24.18","25.79","25.50","11.26","9.99","9.69","9.69","13.59","13.65","15.27","15.51","15.11"
"Gait - Joint - Wrist - Uln-Rad Min. R (degrees)","","","-7.89","3.00","1.06","-1.28","-4.39","-4.94","-6.35","-8.16","-11.05","-9.21","-10.44","-7.70","-8.52","-9.21","-10.43","-11.85","-7.38","-9.63","-8.73","-7.91","-9.83","-12.93","-11.55","-8.86","-6.67","-7.32","-6.86","-7.28","-6.90","-6.46"
"Gait - Joint - Wrist - Uln-Rad Min. Asymmetry (%Diff)","","","-513.44","1255.33","-177.48","-233.27","-413.11","-452.36","-448.53","-614.74","-1175.72","-1144.62","-2247.06","-710.78","-590.38","-413.32","-468.30","-474.62","-359.57","-449.00","-426.02","-376.96","-450.93","2897.01","2761.54","-4469.88","-1083.44","-666.99","-604.12","-564.46","-520.56","-498.73"
"Gait - Joint - Wrist - Uln-Rad Range L (degrees)","","","5.81","3.48","0.88","3.93","6.09","9.09","2.86","2.30","4.22","9.20","4.63","5.79","15.98","4.52","9.68","4.58","3.62","9.28","5.54","4.77","2.95","14.24","2.88","2.61","8.36","4.05","5.37","3.70","5.80","5.86"
"Gait - Joint - Wrist - Uln-Rad Range R (degrees)","","","3.32","1.67","2.95","3.63","3.24","4.23","7.27","2.81","6.08","3.83","3.91","5.72","6.52","1.54","1.99","3.07","3.23","2.73","2.00","1.38","3.80","5.06","5.15","2.12","2.37","1.50","1.59","1.10","2.10","2.12"
"Gait - Joint - Wrist - Uln-Rad Range Asymmetry (%Diff)","","","-46.84","66.59","108.09","-7.94","-61.09","-72.97","87.07","19.96","36.12","-82.43","-16.86","-1.22","-84.09","-98.35","-131.79","-39.48","-11.39","-109.08","-93.90","-110.24","25.19","-95.13","56.54","-20.72","-111.65","-91.89","-108.62","-108.33","-93.67","-93.73"
