"CSV.5 | Subject Group","PAIRED"
"Gait - Joint - Wrist - Flex-Ext Max. L (degrees)","","","-7.67","6.30","0.64","0.48","1.86","2.13","2.06","-3.48","-4.44","-13.17","-11.65","-8.77","-2.69","-11.15","-13.24","-12.67","-16.94","-17.31","-11.07","-5.10","-2.12","-5.07","-15.87","-19.70","-4.32","-5.89","-7.05","-11.23","-11.26","-7.77"
"Gait - Joint - Wrist - Flex-Ext Max. R (degrees)","","","-0.62","3.98","-0.85","0.34","1.01","2.28","6.00","7.32","7.33","5.79","2.07","-1.24","-4.25","-7.57","-5.30","-6.65","-1.06","1.07","-0.06","-1.03","-0.92","-6.51","-0.29","-1.25","1.61","-2.67","-3.40","-4.36","-3.06","-1.70"
"Gait - Joint - Wrist - Flex-Ext Max. Asymmetry (%Diff)","","","-12.67","377.14","1419.05","-34.15","-59.23","6.80","97.77","562.50","814.53","-513.82","-286.43","-150.45","44.96","-38.25","-85.65","-62.32","-176.44","-226.35","-197.84","-132.79","-78.95","24.87","-192.82","-176.13","-437.64","-75.23","-69.86","-88.13","-114.53","-128.19"
"Gait - Joint - Wrist - Flex-Ext Min. L (degrees)","","","-16.50","7.18","-3.37","-4.76","-7.25","-7.88","-3.48","-10.43","-10.73","-19.12","-17.73","-20.37","-15.57","-21.26","-25.18","-25.67","-22.69","-23.36","-25.76","-15.02","-6.75","-18.89","-24.29","-24.82","-17.58","-12.47","-15.52","-19.83","-21.07","-21.26"
"Gait - Joint - Wrist - Flex-Ext Min. R (degrees)","","","-7.80","2.85","-6.43","-6.30","-5.04","-6.09","-4.70","-3.99","-4.00","-7.17","-6.00","-6.83","-9.76","-14.43","-14.44","-10.54","-6.07","-6.81","-6.05","-7.69","-11.67","-12.35","-11.07","-9.32","-6.52","-7.65","-7.63","-6.78","-6.80","-6.32"
"Gait - Joint - Wrist - Flex-Ext Min. Asymmetry (%Diff)","","","-61.35","51.08","62.45","27.85","-35.96","-25.63","29.83","-89.32","-91.38","-90.91","-98.86","-99.56","-45.87","-38.27","-54.22","-83.57","-115.58","-109.71","-123.92","-64.55","53.42","-41.87","-74.77","-90.80","-91.78","-47.91","-68.16","-98.08","-102.40","-108.34"
"Gait - Joint - Wrist - Flex-Ext Range L (degrees)","","","8.83","3.24","4.00","5.24","9.11","10.01","5.54","6.95","6.29","5.95","6.08","11.60","12.88","10.11","11.94","13.00","5.75","6.04","14.69","9.92","4.63","13.82","8.42","5.13","13.26","6.57","8.48","8.60","9.81","13.48"
"Gait - Joint - Wrist - Flex-Ext Range R (degrees)","","","7.18","2.70","5.58","6.64","6.05","8.37","10.70","11.31","11.33","12.97","8.07","5.60","5.51","6.86","9.14","3.90","5.01","7.88","5.98","6.66","10.74","5.84","10.79","8.07","8.13","4.98","4.23","2.42","3.74","4.62"
"Gait - Joint - Wrist - Flex-Ext Range Asymmetry (%Diff)","","","-19.24","59.92","32.99","23.57","-40.37","-17.85","63.55","47.75","57.21","74.21","28.13","-69.77","-80.15","-38.30","-26.57","-107.69","-13.75","26.44","-84.28","-39.32","79.51","-81.18","24.67","44.55","-47.97","-27.53","-66.88","-112.16","-89.59","-97.90"
"Gait - Lower Limb - Cadence L (steps/min)","116.71","9.14","94.46","15.52","124.47","75.44","101.32","91.54","87.47","117.25","78.69","82.23","105.06","94.00","82.40","125.49","78.37","107.41","99.10","91.21","79.83","117.07","75.67","97.59","91.98","78.85","81.27","117.79","78.77","104.07","97.59","82.85"
"Gait - Lower Limb - Cadence R (steps/min)","116.71","9.14","95.86","15.65","91.98","77.11","120.76","79.09","108.78","92.20","85.71","85.33","119.63","79.18","105.93","96.60","81.36","122.49","121.14","78.29","98.21","91.21","76.80","116.19","77.58","98.84","100.79","90.67","84.21","119.44","81.70","102.81"
"Gait - Lower Limb - Cadence Asymmetry (%Diff)","","","1.48","18.62","-30.02","2.19","17.51","-14.59","21.72","-23.92","8.54","3.70","12.97","-17.12","24.99","-26.02","3.74","13.12","20.01","-15.24","20.65","-24.83","1.48","17.40","-16.99","22.50","21.44","-26.02","6.68","13.75","-17.73","21.50"
"Gait - Lower Limb - Double Support L (%GCT)","18.31","3.56","22.05","2.58","20.58","26.33","19.39","24.79","24.72","22.75","23.46","23.34","21.75","21.18","26.82","20.92","18.16","18.32","23.35","20.31","22.25","23.17","25.42","24.52","19.76","20.02","21.48","19.33","26.26","21.00","20.08","18.02"
"Gait - Lower Limb - Double Support R (%GCT)","18.31","3.56","21.75","2.84","24.91","23.49","20.75","26.06","23.23","25.21","21.43","22.33","19.31","24.74","25.38","20.50","16.95","19.30","19.56","23.85","20.97","26.13","24.00","19.97","19.60","19.43","19.03","24.91","22.81","19.28","20.21","15.66"
"Gait - Lower Limb - Double Support Asymmetry (%Diff)","","","-1.57","11.69","19.04","-11.40","6.78","5.00","-6.21","10.26","-9.04","-4.42","-11.89","15.51","-5.52","-2.03","-6.89","5.21","-17.66","16.03","-5.92","12.01","-5.75","-20.45","-0.81","-2.99","-12.10","25.23","-14.06","-8.54","0.65","-14.01"
"Gait - Lower Limb - Elevation at Midswing L (cm)","1.27","0.60","1.98","0.61","2.35","1.38","1.51","1.19","1.99","2.20","1.62","1.22","1.32","1.63","2.22","1.32","0.69","1.59","1.86","2.25","2.31","2.09","1.94","2.39","1.84","2.64","3.42","2.61","2.44","1.76","2.75","2.96"
"Gait - Lower Limb - Elevation at Midswing R (cm)","1.27","0.60","1.64","0.86","1.69","2.01","3.16","0.44","2.81","1.18","2.61","1.98","1.43","0.84","2.39","","1.00","2.03","2.83","0.51","2.00","1.76","1.22","1.18","0.49","1.35","3.07","0.56","1.63","2.13","0.03","1.91"
"Gait - Lower Limb - Elevation at Midswing Asymmetry (%Diff)","","","-27.64","64.41","-32.67","37.17","70.66","-92.02","34.17","-60.36","46.81","47.50","8.00","-63.97","7.38","","36.69","24.31","41.36","-126.09","-14.39","-17.14","-45.57","-67.79","-115.88","-64.66","-10.79","-129.34","-39.80","19.02","-195.68","-43.12"
"Gait - Lower Limb - Gait Cycle Duration L (s)","1.04","0.09","1.30","0.20","0.96","1.59","1.18","1.31","1.37","1.02","1.53","1.46","1.14","1.28","1.46","0.96","1.53","1.12","1.21","1.32","1.50","1.02","1.59","1.23","1.30","1.52","1.48","1.02","1.52","1.15","1.23","1.45"
"Gait - Lower Limb - Gait Cycle Duration R (s)","1.04","0.09","1.28","0.20","1.30","1.56","0.99","1.52","1.10","1.30","1.40","1.41","1.00","1.52","1.13","1.24","1.48","0.98","0.99","1.53","1.22","1.32","1.56","1.03","1.55","1.21","1.19","1.32","1.43","1.00","1.47","1.17"
"Gait - Lower Limb - Gait Cycle Duration Asymmetry (%Diff)","","","-1.50","18.71","30.09","-1.90","-17.51","14.84","-21.86","24.14","-8.87","-3.48","-13.08","17.14","-25.48","25.45","-3.32","-13.33","-20.00","14.74","-20.59","25.64","-1.90","-17.70","17.54","-22.71","-21.72","25.64","-6.10","-13.95","17.78","-21.37"
"Gait - Lower Limb - Gait Speed L (m/s)","1.36","0.18","0.68","0.08","0.86","0.62","0.66","0.65","0.63","0.73","0.60","0.68","0.72","0.70","0.60","0.85","0.68","0.69","0.62","0.66","0.58","0.70","0.57","0.75","0.76","0.68","0.63","0.81","0.58","0.69","0.69","0.67"
"Gait - Lower Limb - Gait Speed R (m/s)","1.36","0.18","0.70","0.10","0.72","0.65","0.84","0.59","0.67","0.66","0.56","0.70","0.87","0.60","0.65","0.79","0.62","0.85","0.79","0.61","0.56","0.64","0.61","0.92","0.68","0.81","0.69","0.66","0.62","0.82","0.65","0.68"
"Gait - Lower Limb - Gait Speed Asymmetry (%Diff)","","","1.94","13.37","-17.72","4.72","24.00","-9.68","6.15","-10.07","-6.90","2.90","18.87","-15.38","8.00","-7.32","-9.23","20.78","24.11","-7.87","-3.51","-8.96","6.78","20.36","-11.11","17.45","9.09","-20.41","6.67","17.22","-5.97","1.48"
"Gait - Lower Limb - Lateral Step Variability L (cm)","3.38","0.70","3.50","0.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gait - Lower Limb - Lateral Step Variability R (cm)","3.38","0.70","5.67","0.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gait - Lower Limb - Lateral Step Variability Asymmetry (%Diff)","","","47.33","0.00","47.33",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gait - Lower Limb - Circumduction L (cm)","3.73","1.18","1.84","1.12","0.88","1.90","3.52","1.31","4.26","2.58","3.82","1.27","1.31","2.15","3.08","1.33","2.01","2.79","2.18","0.78","1.32","1.67","0.15","1.29","0.28","1.68","1.62","2.37","0.08","2.69","0.11","3.10"
"Gait - Lower Limb - Circumduction R (cm)","3.73","1.18","0.89","0.68","0.04","1.04","1.04","0.71","3.18","1.21","0.96","1.72","1.79","0.96","0.63","0.70","1.13","1.00","0.77","0.20","0.82","0.09","0.51","1.38","0.12","0.18","2.01","0.60","0.42","0.35","0.72","0.50"
"Gait - Lower Limb - Circumduction Asymmetry (%Diff)","","","-59.61","89.31","-182.61","-58.50","-108.77","-59.41","-29.03","-72.30","-119.67","30.10","30.97","-76.53","-132.08","-62.07","-56.05","-94.46","-95.59","-118.37","-46.73","-179.55","109.09","6.74","-80.00","-161.29","21.49","-119.19","136.00","-153.95","146.99","-144.44"
"Gait - Lower Limb - N (#)","","","28","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gait - Lower Limb - Foot Strike Angle L (degrees)","26.00","5.12","7.30","3.10","8.28","8.24","2.51","1.80","1.61","1.78","8.50","11.28","4.28","9.52","5.49","9.97","10.59","4.53","6.12","11.03","3.86","7.24","9.78","10.03","11.18","9.25","6.47","8.14","8.06","4.93","9.78","10.05"
"Gait - Lower Limb - Foot Strike Angle R (degrees)","26.00","5.12","10.12","4.59","16.49","6.60","11.82","11.39","4.59","12.33","4.17","7.12","14.06","16.55","4.98","15.63","6.71","10.92","9.54","12.10","3.32","12.44","7.49","16.30","17.50","12.82","2.70","13.82","5.07","9.01","13.69","4.29"
"Gait - Lower Limb - Foot Strike Angle Asymmetry (%Diff)","","","28.87","65.70","66.29","-22.10","129.94","145.41","96.13","149.54","-68.35","-45.22","106.65","53.93","-9.74","44.22","-44.86","82.72","43.68","9.25","-15.04","52.85","-26.52","47.63","44.07","32.35","-82.22","51.73","-45.54","58.54","33.32","-80.33"
"Gait - Lower Limb - Toe Off Angle L (degrees)","39.47","4.12","36.78","4.01","34.17","38.37","34.48","31.28","41.04","33.60","38.37","39.94","38.90","35.41","38.20","31.08","40.12","34.42","30.19","34.70","36.26","26.20","37.91","41.06","36.44","43.69","40.08","34.14","39.58","38.33","39.99","41.77"
"Gait - Lower Limb - Toe Off Angle R (degrees)","39.47","4.12","36.13","2.29","32.98","34.84","33.77","32.27","34.83","32.75","33.39","36.27","34.25","33.22","35.85","37.52","37.76","37.77","35.63","39.64","32.87","35.13","37.91","38.61","39.00","37.68","36.57","37.56","39.09","37.19","38.55","38.81"
"Gait - Lower Limb - Toe Off Angle Asymmetry (%Diff)","","","-1.36","11.05","-3.54","-9.64","-2.08","3.12","-16.37","-2.56","-13.88","-9.63","-12.71","-6.38","-6.35","18.78","-6.06","9.28","16.53","13.29","-9.81","29.12","0.00","-6.15","6.79","-14.77","-9.16","9.54","-1.25","-3.02","-3.67","-7.35"
"Gait - Lower Limb - Single Limb Support L (%GCT)","40.95","1.80","38.95","4.97","36.63","35.66","49.47","31.94","40.43","36.03","36.17","37.15","45.14","33.78","38.84","36.11","37.65","49.09","47.61","33.85","37.53","35.21","34.38","44.73","34.37","42.40","39.05","37.42","36.31","45.94","34.94","42.72"
"Gait - Lower Limb - Single Limb Support R (%GCT)","40.95","1.80","39.58","5.19","31.62","38.86","37.11","37.38","43.34","32.41","43.97","41.00","37.69","37.94","44.14","33.08","45.87","37.16","35.49","39.35","49.49","32.42","40.80","36.61","38.69","47.10","48.95","33.29","40.02","37.95","37.66","48.73"
"Gait - Lower Limb - Single Limb Support Asymmetry (%Diff)","","","1.54","17.15","-14.68","8.59","-28.55","15.70","6.95","-10.58","19.47","9.85","-17.99","11.60","12.77","-8.76","19.68","-27.66","-29.17","15.03","27.49","-8.25","17.08","-19.97","11.83","10.50","22.50","-11.68","9.72","-19.05","7.49","13.14"
"Gait - Lower Limb - Stance L (%GCT)","59.16","1.86","61.00","4.95","57.21","61.98","68.87","56.73","65.15","58.78","59.63","60.49","66.89","54.96","65.67","57.03","55.82","67.41","70.97","54.16","59.77","58.38","59.80","69.25","54.13","62.42","60.53","56.75","62.56","66.94","55.02","60.73"
"Gait - Lower Limb - Stance R (%GCT)","59.16","1.86","61.33","4.62","56.53","62.35","57.86","63.44","66.57","57.62","65.40","63.33","57.01","62.68","69.52","53.58","62.82","56.46","55.05","63.20","70.46","58.55","64.80","56.58","58.28","66.54","67.98","58.21","62.83","57.23","57.87","64.39"
"Gait - Lower Limb - Stance Asymmetry (%Diff)","","","0.58","11.61","-1.20","0.60","-17.38","11.17","2.16","-1.99","9.23","4.59","-15.95","13.12","5.70","-6.24","11.80","-17.68","-25.27","15.41","16.42","0.29","8.03","-20.14","7.38","6.39","11.59","2.54","0.43","-15.64","5.05","5.85"
"Gait - Lower Limb - Step Duration L (s)","0.52","0.04","0.64","0.13","0.53","0.81","0.44","0.76","0.61","0.53","0.75","0.74","0.48","0.75","0.69","0.51","0.80","0.44","0.45","0.77","0.74","0.54","0.81","0.48","0.75","0.73","0.72","0.55","0.75","0.48","0.70","0.68"
"Gait - Lower Limb - Step Duration R (s)","0.52","0.04","0.64","0.12","0.78","0.75","0.55","0.76","0.49","0.77","0.65","0.67","0.53","0.77","0.44","0.73","0.67","0.54","0.55","0.76","0.48","0.77","0.75","0.55","0.79","0.49","0.47","0.78","0.68","0.53","0.77","0.49"
"Gait - Lower Limb - Step Duration Asymmetry (%Diff)","","","0.10","25.66","38.17","-7.69","22.22","0.00","-21.82","36.92","-14.29","-9.93","9.90","2.63","-44.25","35.48","-17.69","20.41","20.00","-1.31","-42.62","35.11","-7.69","13.59","5.19","-39.34","-42.02","34.59","-9.79","9.90","9.52","-32.48"
"Gait - Lower Limb - Stride Length L (m)","1.39","0.17","0.87","0.09","0.83","0.99","0.79","0.84","0.86","0.75","0.91","0.98","0.81","0.89","0.86","0.82","1.04","0.78","0.76","0.86","0.86","0.72","0.91","0.94","0.99","1.03","0.93","0.83","0.88","0.80","0.83","0.98"
"Gait - Lower Limb - Stride Length R (m)","1.39","0.17","0.88","0.09","0.95","0.98","0.84","0.89","0.73","0.87","0.77","0.97","0.87","0.92","0.72","1.00","0.88","0.84","0.79","0.94","0.67","0.84","0.96","0.96","1.06","0.97","0.82","0.87","0.88","0.83","0.97","0.77"
"Gait - Lower Limb - Stride Length Asymmetry (%Diff)","","","0.26","12.46","13.48","-1.02","6.13","5.78","-16.35","14.81","-16.67","-1.03","7.14","3.31","-17.72","19.78","-16.67","7.41","3.87","8.89","-24.84","15.38","5.35","2.11","6.83","-6.00","-12.57","4.71","0.00","3.68","15.56","-24.00"
"Gait - Lower Limb - Swing L (%GCT)","40.94","1.80","39.00","4.95","42.79","38.02","31.13","43.27","34.85","41.22","40.37","39.51","33.11","45.04","34.33","42.97","44.18","32.59","29.03","45.84","40.23","41.62","40.20","30.75","45.87","37.58","39.47","43.25","37.44","33.06","44.98","39.27"
"Gait - Lower Limb - Swing R (%GCT)","40.94","1.80","38.67","4.62","43.47","37.65","42.14","36.56","33.43","42.38","34.60","36.67","42.99","37.32","30.48","46.42","37.18","43.54","44.95","36.80","29.54","41.45","35.20","43.42","41.72","33.46","32.02","41.79","37.17","42.77","42.13","35.61"
"Gait - Lower Limb - Swing Asymmetry (%Diff)","","","-0.77","19.17","1.58","-0.98","30.05","-16.81","-4.16","2.78","-15.39","-7.46","25.97","-18.75","-11.88","7.72","-17.21","28.77","43.04","-21.88","-30.64","-0.41","-13.26","34.16","-9.48","-11.60","-20.84","-3.43","-0.72","25.61","-6.54","-9.78"
"Gait - Lower Limb - Terminal Double Support L (%GCT)","9.18","1.86","10.29","2.13","11.67","12.97","5.94","14.42","9.68","10.69","9.12","11.13","8.48","13.59","12.98","10.62","8.16","7.13","7.74","12.71","9.04","11.43","11.13","8.39","11.86","10.27","9.21","10.43","11.59","8.13","11.94","7.66"
"Gait - Lower Limb - Terminal Double Support R (%GCT)","9.18","1.86","11.35","2.95","16.29","10.24","13.68","13.59","11.19","16.81","11.50","10.78","9.66","13.30","8.69","12.33","8.47","11.16","10.09","12.95","9.85","17.22","12.70","9.98","9.60","6.56","7.61","16.88","10.42","9.95","10.21","6.16"
"Gait - Lower Limb - Terminal Double Support Asymmetry (%Diff)","","","8.51","28.30","33.05","-23.52","78.90","-5.93","14.47","44.51","23.08","-3.19","13.01","-2.16","-39.59","14.90","3.73","44.07","26.36","1.87","8.58","40.42","13.18","17.31","-21.06","-44.09","-19.02","47.24","-10.63","20.13","-15.62","-21.71"
"Gait - Lower Limb - Toe Out Angle L (degrees)","8.18","6.36","9.93","3.75","13.50","9.76","11.06","9.85","10.86","8.97","4.39","10.57","16.16","10.07","8.39","2.90","10.95","10.39","11.61","16.80","14.94","17.59","8.94","8.61","12.10","9.67","7.19","8.41","6.01","1.66","7.43","9.12"
"Gait - Lower Limb - Toe Out Angle R (degrees)","8.18","6.36","22.07","4.33","16.13","21.87","26.31","14.26","24.37","23.89","23.80","15.94","19.03","22.91","22.21","22.49","20.41","26.51","23.08","15.11","17.66","21.79","21.21","26.27","21.83","20.94","19.82","25.89","20.28","32.35","20.01","31.53"
"Gait - Lower Limb - Toe Out Angle Asymmetry (%Diff)","","","76.37","43.05","17.75","76.57","81.62","36.58","76.70","90.81","137.71","40.51","16.31","77.87","90.33","154.31","60.33","87.37","66.13","-10.59","16.69","21.33","81.39","101.26","57.35","73.64","93.52","101.92","108.56","180.48","91.69","110.26"
"Gait - Lumbar - Coronal Range of Motion (degrees)","9.53","2.53","8.24","1.47","8.30","9.79","7.72","7.37","5.34","6.06","6.06","7.95","9.20","7.72","7.24","8.97","8.54","6.86","8.33","8.61","8.45","6.74","8.59","11.38","11.07","8.98","10.05","8.50","9.58","8.35","9.08","5.99"
"Gait - Lumbar - Sagittal Range of Motion (degrees)","5.69","2.32","5.26","1.99","3.84","4.95","4.47","6.59","4.62","3.69","6.18","2.74","3.79","5.03","7.02","3.05","6.07","5.71","5.19","5.78","3.55","6.08","3.67","3.82","5.37","6.49","3.19","2.17","5.72","8.13","10.97","9.36"
"Gait - Lumbar - Transverse Range of Motion (degrees)","11.39","5.02","11.27","4.03","6.28","13.14","15.38","10.78","8.92","5.47","10.88","14.87","12.65","19.28","17.21","6.54","13.02","8.83","10.39","5.18","9.72","4.05","8.41","12.30","13.62","15.38","14.49","8.74","16.87","6.98","10.93","15.33"
"Gait - Trunk - Coronal Range of Motion (degrees)","5.55","2.27","5.38","2.06","4.47","6.32","5.97","5.50","6.08","2.66","4.57","6.41","7.38","4.53","7.87","4.55","8.57","2.74","4.39","9.80","8.40","2.32","7.49","5.04","3.75","6.18","5.12","1.90","3.75","3.07","7.73","4.20"
"Gait - Trunk - Sagittal Range of Motion (degrees)","4.96","1.13","6.44","1.35","6.98","6.89","6.13","6.19","7.30","6.16","6.09","5.12","5.60","7.35","8.28","6.32","6.24","5.19","6.12","7.82","7.28","4.38","4.71","7.61","4.91","11.00","4.95","5.69","7.27","5.24","6.83","6.75"
"Gait - Trunk - Transverse Range of Motion (degrees)","8.78","2.46","12.76","2.66","12.49","12.58","9.48","14.28","8.54","12.65","17.57","13.96","11.20","6.28","11.37","13.35","13.16","15.74","13.96","16.39","13.65","13.64","16.56","11.75","9.32","16.31","13.52","14.26","9.04","13.81","11.94","10.50"
"Gait - Upper Limb - Arm Swing Velocity L (degrees/s)","227.41","77.59","195.38","34.86","207.96","252.58","218.77","293.19","236.80","197.20","221.80","200.87","162.42","207.91","180.60","156.16","195.79","167.99","154.14","133.85","187.49","174.82","134.36","181.64","218.19","198.70","215.35","195.12","177.64","173.04","192.96","233.28"
"Gait - Upper Limb - Arm Swing Velocity R (degrees/s)","227.41","77.59","162.79","30.03","162.03","167.06","191.06","181.49","244.31","186.43","206.22","178.63","191.10","147.64","197.53","125.36","135.50","144.28","156.18","147.93","119.09","121.92","113.13","155.66","148.55","190.31","176.95","152.01","141.60","147.90","144.01","184.12"
"Gait - Upper Limb - Arm Swing Velocity Asymmetry (%Diff)","","","-18.18","16.88","-24.83","-40.76","-13.52","-47.06","3.12","-5.61","-7.28","-11.72","16.23","-33.90","8.95","-21.88","-36.40","-15.19","1.31","9.99","-44.62","-35.65","-17.16","-15.40","-37.98","-4.31","-19.58","-24.84","-22.58","-15.67","-29.05","-23.56"
"Gait - Upper Limb - Arm Range of Motion L (degrees)","58.43","19.91","68.13","14.13","78.76","88.06","70.14","106.53","77.97","74.72","76.49","91.85","46.27","78.78","57.77","58.04","76.56","56.24","43.08","56.37","55.38","65.06","66.68","55.42","73.61","63.47","61.85","67.04","77.45","50.74","70.49","62.79"
"Gait - Upper Limb - Arm Range of Motion R (degrees)","58.43","19.91","57.99","13.47","44.50","67.68","58.87","73.51","79.94","54.54","79.87","86.57","58.15","62.68","71.28","42.35","62.56","44.23","42.79","46.77","43.29","33.63","59.79","47.75","63.10","66.86","65.56","45.89","62.75","43.73","49.47","65.51"
"Gait - Upper Limb - Arm Range of Motion Asymmetry (%Diff)","","","-16.51","20.37","-55.59","-26.17","-17.47","-36.68","2.50","-31.22","4.32","-5.92","22.75","-22.76","20.94","-31.26","-20.13","-23.91","-0.68","-18.62","-24.51","-63.69","-10.90","-14.87","-15.38","5.20","5.82","-37.46","-20.97","-14.84","-35.05","4.24"
"Turns - Angle (degrees)","179.44","5.82","179.71","8.40","186.74","168.13","179.01","184.95",,,,,,,,,,,,,,,,,,,,,,,,
"Turns - Duration (s)","2.33","0.37","2.30","0.16","2.51","2.13","2.34","2.23",,,,,,,,,,,,,,,,,,,,,,,,
"Turns - N (#)","","","4","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Turns - Turn Velocity (degrees/s)","187.40","41.62","144.20","12.22","161.69","134.82","136.89","143.41",,,,,,,,,,,,,,,,,,,,,,,,
"Turns - Steps in Turn (#)","4.33","0.67","3.75","0.50","3.00","4.00","4.00","4.00",,,,,,,,,,,,,,,,,,,,,,,,

"Event"
"Gait - Lower Limb - Gait Cycle L (s)","","","","","7.313","8.277","9.867","11.052","12.363","13.734","14.758","20.967","22.427","23.569","24.845","26.302","27.258","28.789","35.114","36.325","37.641","39.144","40.169","41.755","42.984","44.289","50.911","52.388","53.406","54.930","56.083","57.313"
"Gait - Lower Limb - Gait Cycle R (s)","","","","","7.752","9.056","10.613","11.606","13.123","14.227","15.528","21.688","23.094","24.097","25.613","26.745","27.988","29.463","35.880","36.870","38.403","39.625","40.941","42.503","43.536","45.083","51.669","52.859","54.183","55.608","56.613","58.081"
"Gait - Lower Limb - Gait Cycle Asymmetry (%Diff)","","","2.88","2.07","5.83","8.99","7.29","4.89","5.96","3.53","5.08","3.38","2.93","2.22","3.04","1.67","2.64","2.31","2.16","1.49","2.00","1.22","1.90","1.78","1.28","1.78","1.48","0.90","1.44","1.23","0.94","1.33"
"Gait - Lower Limb - Toe Off L (s)","","","","","7.864","9.263","10.683","11.795","13.256","14.336","15.667","21.850","23.191","24.270","25.802","26.847","28.113","29.542","35.973","37.038","38.539","39.742","41.117","42.606","43.691","45.239","51.805","52.966","54.359","55.702","56.759","58.192"
"Gait - Lower Limb - Toe Off R (s)","","","","","8.489","10.027","11.188","12.569","13.858","14.977","16.444","22.578","23.666","25.047","26.400","27.411","28.914","30.016","36.425","37.839","39.264","40.395","41.953","43.088","44.438","45.891","52.478","53.630","55.078","56.183","57.463","58.833"
"Gait - Lower Limb - Toe Off Asymmetry (%Diff)","","","2.77","1.98","7.64","7.92","4.62","6.35","4.44","4.37","4.84","3.28","2.03","3.15","2.29","2.08","2.81","1.59","1.25","2.14","1.86","1.63","2.01","1.12","1.70","1.43","1.29","1.25","1.31","0.86","1.23","1.10"
"Gait - Lower Limb - Midswing L (s)","","","","","8.100","9.653","10.945","12.197","13.592","14.598","16.108","22.239","23.455","24.655","26.144","27.103","28.625","29.800","36.208","37.381","38.886","39.981","41.494","42.806","44.016","45.623","52.138","53.197","54.711","55.961","57.073","58.539"
"Gait - Lower Limb - Midswing R (s)","","","","","8.834","10.419","11.434","12.934","14.097","15.320","16.773","22.898","23.947","25.394","26.638","27.817","29.339","30.295","36.684","38.203","39.513","40.716","42.297","43.383","44.814","46.144","52.716","53.972","55.428","56.455","57.894","59.116"
"Gait - Lower Limb - Midswing Asymmetry (%Diff)","","","2.71","1.98","8.67","7.63","4.37","5.87","3.65","4.83","4.04","2.92","2.08","2.95","1.87","2.60","2.46","1.65","1.31","2.18","1.60","1.82","1.92","1.34","1.80","1.14","1.10","1.45","1.30","0.88","1.43","0.98"
"Gait - Lower Limb - Initial Contact Next L (s)","","","","","8.277","9.867","11.052","12.363","13.734","14.758","16.283","22.427","23.569","24.845","26.302","27.258","28.789","29.906","36.325","37.641","39.144","40.169","41.755","42.984","44.289","45.811","52.388","53.406","54.930","56.083","57.313","58.761"
"Gait - Lower Limb - Initial Contact Next R (s)","","","","","9.056","10.613","11.606","13.123","14.227","15.528","16.928","23.094","24.097","25.613","26.745","27.988","29.463","30.442","36.870","38.403","39.625","40.941","42.503","43.536","45.083","46.297","52.859","54.183","55.608","56.613","58.081","59.248"
"Gait - Lower Limb - Initial Contact Next Asymmetry (%Diff)","","","2.69","2.05","8.99","7.29","4.89","5.96","3.53","5.08","3.88","2.93","2.22","3.04","1.67","2.64","2.31","1.78","1.49","2.00","1.22","1.90","1.78","1.28","1.78","1.06","0.90","1.44","1.23","0.94","1.33","0.83"
"Turns - Turn (s)","","","","","17.672","31.281","47.016","60.672",,,,,,,,,,,,,,,,,,,,,,,,
